number,jp,cn,kr,en
584,「それとユエナに頼むのも無しですよ」,“也不要去找由依奈求情。”,「그리고 유에나한테 부탁하기도 없어요.」,
585,「お、おまえ東雲みたいなことを」,“你、你怎么跟东云一样。”,"「너, 너어, 시노노메 같은 말을.」",
586,「それでいい、少年。グッジョブだ」,“这就对了，少年。干得好。”,"「그거면 됐다, 소년. 굿 잡이다.」",
587,「ともき、グッジョッ！」,“智纪，干得好！”,"「토모키, 굿 잡!」",
588,ユエナが親指をたてる。,由依奈竖起了大拇指。,유에나가 엄지를 척 세운다.,
589,「ええ～ユエナちゃんまで～」,“哎～连由依奈都这么无情～”,「아아~ 유에나까지~」,
590,そう言いながらしぶしぶ立ってお茶をいれはじめる。,老师不情不愿地站起身自己泡茶去了。,선생님은 불평을 흘리며 마지못해 차를 타기 시작했다.,
591,「それで、あなたはここへ何しにきたんですか。そう何度もここへこられても困るのだけれど」,“所以你今天来这里是有什么事？总是不请自来的话我们也很困扰的。”,「그래서 당신이 여긴 뭐 하러 오셨죠. 이렇게 계속해서 찾아오면 곤란한데요.」,
592,「あなたたちがここでお菓子食べてるのを言わないだけいいじゃないかしら？むしろ感謝しなさいよ」,“我不会告诉别人你们在这里吃零食的，这还不够吗？反而应该感谢我吧。”,「너희가 여기서 과자를 먹는단 걸 말하지만 않으면 되지 않겠어? 오히려 감사하라고.」,
593,「どーもありがとうございます」,“那真是多谢了。”,「정ー말 감사하게 됐습니다.」,
594,「軽いわね。あなたの軽いところはそこだけね」,“真随便啊。你唯独在这种时候才这么随便。”,「가볍기는. 아주 입만 살았어.」,
595,「まあ、別に仕事が一段落したからここへ来ているだけよ」,“只是因为工作上的事情暂时处理完了，我就来这里看看。”,"「뭐, 업무를 일단락하고 와 보는 것뿐이야.」",
596,「いけないかしら？」,“不行吗？”,「안 될 거 없지?」,
597,椿木先生が湯呑を机に置いて座る。,椿木老师放下茶杯，坐到了椅子上。,츠바키 선생님이 찻잔을 책상에 놓으며 앉는다.,
598,「でも今日はそうじゃないのよね」,“但是今天不一样。”,「하지만 오늘은 그뿐만이 아니야.」,
599,「どういうことです？」,“什么意思？”,「무슨 말씀이세요?」,
600,「ユエナちゃん、ちょっときてくれるかしら」,“由依奈，你能过来一下吗？”,「유에나. 잠깐 와 볼래?」,
601,椿木先生はぼくを無視してユエナを呼ぶ。,椿木老师没有理我，叫了由依奈一声。,츠바키 선생님이 나를 무시하고 유에나를 부른다.,
602,「なに、椿木」,“怎么了，椿木。”,"「왜 그래, 츠바키.」",
603,「わたしのうしろにきてくれるかしら？そう、そうして手をわたしの肩において、そう」,“可以到我背后来吗？对，把手放在我的肩膀上。”,"「내 뒤로 와 줄래? 그래. 그렇게 내 어깨에 손을 올리고, 그래.」",
604,「ん？」,“嗯？”,「응?」,
605,「そうそう。そうして手を動かして肩を揉んで……あっ、そういいわよ、その調子」,“没错没错，用手揉我的肩膀……啊，就是这样。”,"「맞아, 맞아. 그렇게 손을 움직여서 어깨를 주무르는…… 앗, 거기 좋아, 그대로.」",
606,あろうことかユエナに肩を揉ませている、この教師。,老师居然使唤由依奈给自己揉肩。,"뭘 하는가 했더니 유에나한테 어깨를 주무르게 하고 있어, 이 교사.",
607,「先生、一体なんのおつもりで？」,“老师，你到底想干什么？”,「선생님. 대체 무슨 속셈이죠?」,
608,笑っているけどすごい形相だ。いや、笑っているというのだろうか。,学姐脸上在笑，却令人毛骨悚然。不，这究真的是笑容吗？,웃고는 있지만 무시무시한 분위기다. 과연 저걸 웃는 것이라 해도 될까.,
609,とにかく、怖い。,总之就是非常恐怖。,하여튼 무섭다.,
610,「あら、この星の人間は疲れた時は肩を揉むと教えているのよ」,“哎呀，我听说这颗星球上的人在疲劳的时候就会揉肩膀放松。”,「어머. 이 별 사람은 피곤할 때 어깨를 주무른다는 걸 가르치는 거야.」,
611,「そうですか、ではわたしがやりましょうか？力には少々自信があるので」,“是吗，那让我来吧？我对自己的力气还是有些自信的。”,「그렇습니까. 그럼 제가 해 드릴까요? 힘에는 그럭저럭 자신이 있어서.」,
612,「無論、骨を破壊したりはしないさ」,“当然了，我不会把你捏到骨折的。”,「물론 뼈를 파괴하진 않습니다.」,
613,「遠慮しておくわね。うん、ユエナちゃんありがとう」,“就不劳烦你了。嗯，谢谢由依奈。”,"「사양할게. 응, 유에나 고마워.」",
614,「んっ、椿木の肩、かたかった」,“嗯，椿木的肩膀好僵硬。”,"「응. 츠바키 어깨, 딱딱했어.」",
615,「うっ、それくらい疲れてるのよ。まあいいわ、ユエナちゃん、ちょっと手をだして」,“唔，这都是累出来的啊。不说了，由依奈，把手伸出来。”,"「그래, 그만큼 피곤한 거야. 좋아, 유에나. 잠깐 손 좀 줘 볼래.」",
616,「ん？こう？」,“嗯？这样吗？”,「응? 이렇게?」,
617,ユエナが両手をおわんのようにして先生にだす。,由依奈手掌并拢伸到老师面前。,유에나가 두 손을 강아지처럼 선생님께 내민다.,
618,「そうそう」,“对。”,"「응, 그래.」",
619,先生が白衣の内ポケットに手を入れて、何かを掴んで、そっとユエナの手に乗せた。,老师伸手探入白大褂内的口袋，取出某样东西轻轻放在由依奈的手上。,선생님이 백의 안주머니에 손을 넣어 무언가를 잡아 유에나 손 위에 슬쩍 올렸다.,
620,「はい、どうぞ」,“这个给你。”,"「자, 받아.」",
621,「わわっ……はわわぁぁああ！」,“哇哇……哇哇哇哇哇！”,「와아……. 하아아아아아!」,
622,「ん？なにもらったの？あ、スマホ！」,“嗯？老师给了你什么东西吗？啊，是手机！”,"「응? 뭘 받은 거야? 아, 스마트폰!」",
623,ユエナの手には真新しいスマホが置かれていた。,由依奈手上放着一部全新的手机。,유에나의 손에는 새로운 스마트폰이 올라가 있었다.,
624,「すまほっ、すまほっ！んふふ～っ」,“手机，手机！哎嘿嘿～”,"「스마트폰, 스마트폰! 우후후~」",
625,「喜んでもらえて嬉しいわ」,“你开心就好。”,「좋아하는 걸 보니 기쁘네.」,
626,「ありがとうございます」,“谢谢。”,「감사합니다.」,
627,先輩が頭をさげる。,学姐低下了头。,선배님이 고개를 수그린다.,
628,「あら、なんであなたがお礼を言うのかしら？」,“哎呀，为什么你要向我道谢？”,"「어머, 왜 네가 감사하는 거니?」",
629,「無論、私が感謝したいと思ったからにすぎないよ」,“当然是因为我想表示谢意。”,「제가 감사하고 싶다고 생각했을 뿐입니다.」,
630,「そう、悪い気分ではないわね」,“是吗，感觉还不错。”,「그래. 기분이 썩 나쁘지는 않네.」,
631,先生は髪をはらう。,老师撩了撩头发。,선생님이 머리카락을 넘긴다.,
632,「すまほっ、すまほーっ、すまっほ～♪」,“手机、手机、手机～♪。”,"「스마트폰, 스마트폰ー 스마트폰~♪」",
633,「ご機嫌だね、ユエナ。それにしても最新機種かあ、羨ましい」,“很开心吧，由依奈。而且还是最新款的手机，好羡慕啊。”,"「기분 좋아 보이네, 유에나. 그건 그렇고 최신 기종인가. 부럽다.」",
634,「おしえてっ、使い方教えて！」,“教教我怎么用！”,「가르쳐 줘. 사용법 가르쳐 줘!」,
635,「わ、わかった、わかったから落ち着いて」,“知、知道了，你别着急。”,"「아, 알겠어. 알겠으니까 진정해.」",
636,飛び跳ねるユエナを落ち着かせる。,我安抚了一下欢呼雀跃的由依奈。,폴짝폴짝 날뛰는 유에나를 진정시킨다.,
637,比喩表現ではない、本当に飛んで跳ねている。,这不是比喻，她是真的在又蹦又跳。,비유적 표현이 아니라 정말로 날면서 뛰고 있다.,
638,「それじゃ、わたしは仕事に戻るとするわ」,“那我回去工作了。”,「그럼 나는 다시 일하러 가 볼게.」,
639,椿木先生が席を立つ。,椿木老师站了起来。,츠바키 선생님이 자리에서 일어난다.,
640,どうやら用事とはこのことだったらしい。,看来她就是来给由依奈送手机的。,아무래도 이것 때문에 오신 모양이다.,
641,「ユエナちゃんに使い方教えてあげてね。変な請求きたら、殺すわよ？」,“你们教教由依奈怎么用手机吧。如果我收到莫名其妙的账单，就弄死你们哦。”,"「유에나한테 사용법 좀 알려줘. 청구서에 이상한 거 찍히면, 죽는다?」",
642,「そんな声で物騒なこと言わないでください」,“别用这种语气说那么吓人的话啊。”,「그런 목소리로 흉흉한 말씀 마세요.」,
643,この人はもう少し口を直したほうがいいと思う。,真希望她能稍微管管自己的嘴。,이 사람은 조금만 부드럽게 말하면 좋을 것 같다.,
644,「詩乃、詩乃っ」,“诗乃、诗乃。”,"「우타노, 우타노.」",
645,「ん？どうした、ユエナくん」,“嗯？怎么了，由依奈。”,"「응? 왜 그러나, 유에나 군.」",
646,「カメラ？カメラ、カメラ教えてほしいっ」,“是叫摄像头吧？摄像头，教教我怎么用。”,"「카메라? 카메라, 카메라 가르쳐 줘!」",
